model_id,model_name,family,representative_role,selected_for_visualization,grouping_match,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,231,0.0819096451775579,4777278.491094632,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,232,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,241,0.3358954896257763,19590687.93872125,58323760.04973268,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,11,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,12,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,13,0.2578752485918348,15044613.284426771,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,14,0.0085073504461018,496324.4756354267,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,15,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,16,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,21,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,22,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,23,0.0257883923196132,1504511.9366603205,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,24,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,25,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,26,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,111,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,121,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,131,0.054470469272542,3177843.3568230174,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,161,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,231,0.1828639409948703,10668403.7764653,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,232,0.0,0.0,58340664.20325355,648
Sim634,Sim634,F04,,False,True,11,0.55,-53.408578529259735,241,0.4704945983750378,27448967.373242725,58340664.20325355,648
Sim634,Sim634,F04,,False,True,12,0.6,-47.68363279248126,11,0.0,0.0,58300050.979539245,648
Sim634,Sim634,F04,,False,True,12,0.6,-47.68363279248126,12,0.0,0.0,58300050.979539245,648
Sim634,Sim634,F04,,False,True,12,0.6,-47.68363279248126,13,0.2295533343043027,13382971.092464063,58300050.979539245,648
Sim634,Sim634,F04,,False,True,12,0.6,-47.68363279248126,14,0.0585779459910005,3415097.237552029,58300050.979539245,648
Sim634,Sim634,F04,,False,True,12,0.6,-47.68363279248126,15,0.0,0.0,58300050.979539245,648
